Course Code,Course Name,Lecturer(s),Day,Time,Date,Classroom,Examination Date
SFBS‐NF,Statistics for Business II,"Charles (Course Mgr)
Christine
Lim Suang",Saturday,9am ‐ 5pm,7‐Jan‐23,Beacon (L4),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
SFBS‐NF,Statistics for Business II,"Charles (Course Mgr)
Christine
Lim Suang",Saturday,9am ‐ 5pm,14‐Jan‐23,Beacon (L4),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
SFBS‐NF,Statistics for Business II,"Charles (Course Mgr)
Christine
Lim Suang",Saturday,9am ‐ 5pm,28‐Jan‐23,Beacon (L4),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
DST‐NF,Data Storytelling,"Nirmal (Course Mgr)
Prakash",Saturday,9am ‐ 5pm,4‐Feb‐23,Innovation I & II (L3),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
DST‐NF,Data Storytelling,"Nirmal (Course Mgr)
Prakash",Saturday,9am ‐ 5pm,11‐Feb‐23,Innovation I & II (L3),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
DST‐NF,Data Storytelling,"Nirmal (Course Mgr)
Prakash",Saturday,9am ‐ 5pm,18‐Feb‐23,Innovation I & II (L3),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
DMA‐NF,"Data Management for 
Analytics",Brandon (Course Mgr),Saturday,9am ‐ 5pm,4‐Mar‐23,Momentum (L4),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
DMA‐NF,"Data Management for 
Analytics",Brandon (Course Mgr),Saturday,9am ‐ 5pm,11‐Mar‐23,Ambition I & II (L4),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
DMA‐NF,"Data Management for 
Analytics",Brandon (Course Mgr),Saturday,9am ‐ 5pm,18‐Mar‐23,Ambition I & II (L4),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
MBAP‐NF,"Managing Business Analytics 
Project","Scott (Course Mgr)
Nirmal
Richard",Saturday,9am ‐ 5pm,1‐Apr‐23,Beacon (L4),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
MBAP‐NF,"Managing Business Analytics 
Project","Scott (Course Mgr)
Nirmal
Richard",Saturday,9am ‐ 5pm,8‐Apr‐23,Beacon (L4),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
MBAP‐NF,"Managing Business Analytics 
Project","Scott (Course Mgr)
Nirmal
Richard",Saturday,9am ‐ 5pm,15‐Apr‐23,Beacon (L4),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
